Ntot,Ndet/Ntot,err,Nabs/Ntot,Nesc/Ntot,NhPMT/Ntot,cost,fDet_total,cost_per_eff_area,L,W,T,useWedge,wedgeLen,wedgeTipW,nScint,absLen,Rwrap,wrap,rPMT
110000.000000,0.022400,0.000446,0.505336,0.370845,0.123818,3418.000000,24.640000,138.717532,110.000000,10.000000,2.000000,1.000000,20.000000,5.000000,1.580000,300.000000,0.950000,2,1.270000
Ntot,Ndet/Ntot,err,Nabs/Ntot,Nesc/Ntot,NhPMT/Ntot,cost,fDet_total,cost_per_eff_area,L,W,T,useWedge,wedgeLen,wedgeTipW,nScint,absLen,Rwrap,wrap,rPMT
110000.000000,0.029045,0.000506,0.486064,0.353518,0.160418,3418.000000,31.950000,106.979656,110.000000,10.000000,2.000000,1.000000,5.000000,5.000000,1.580000,300.000000,0.950000,2,1.270000
Ntot,Ndet/Ntot,err,Nabs/Ntot,Nesc/Ntot,NhPMT/Ntot,cost,fDet_total,cost_per_eff_area,L,W,T,useWedge,wedgeLen,wedgeTipW,nScint,absLen,Rwrap,wrap,rPMT
130000.000000,0.030192,0.000475,0.503054,0.328077,0.168869,3578.000000,39.250000,91.159236,130.000000,10.000000,2.000000,0.000000,0.000000,0.000000,1.580000,300.000000,0.950000,2,1.270000
Ntot,Ndet/Ntot,err,Nabs/Ntot,Nesc/Ntot,NhPMT/Ntot,cost,fDet_total,cost_per_eff_area,L,W,T,useWedge,wedgeLen,wedgeTipW,nScint,absLen,Rwrap,wrap,rPMT
130000.000000,0.020677,0.000395,0.513869,0.370185,0.115946,3578.000000,26.880000,133.110119,130.000000,10.000000,2.000000,1.000000,20.000000,5.000000,1.580000,300.000000,0.950000,2,1.270000
Ntot,Ndet/Ntot,err,Nabs/Ntot,Nesc/Ntot,NhPMT/Ntot,cost,fDet_total,cost_per_eff_area,L,W,T,useWedge,wedgeLen,wedgeTipW,nScint,absLen,Rwrap,wrap,rPMT
130000.000000,0.026923,0.000449,0.503985,0.349015,0.147000,3578.000000,35.000000,102.228571,130.000000,10.000000,2.000000,1.000000,5.000000,5.000000,1.580000,300.000000,0.950000,2,1.270000
Ntot,Ndet/Ntot,err,Nabs/Ntot,Nesc/Ntot,NhPMT/Ntot,cost,fDet_total,cost_per_eff_area,L,W,T,useWedge,wedgeLen,wedgeTipW,nScint,absLen,Rwrap,wrap,rPMT
